Export Country/Territory,Import Country/Territory,Trade_Value
Belgium,Slovakia,112969132.97
Belgium,Slovenia,37620656.35
Belgium,South Africa,41714743.22
Belgium,South Korea,644961806.92
Belgium,Spain,791857743.8
Belgium,Sri Lanka,1370055.09
Belgium,Suriname,466992.03
Belgium,Sweden,318775647.58
Belgium,Switzerland,19580743.74
Belgium,Thailand,610809.21
Belgium,Togo,27841.05
Belgium,Tunisia,964016.78
Belgium,Turkey,1634889.67
Belgium,Uganda,80066.41
Belgium,Ukraine,28569120.6
Belgium,United Arab Emirates,27654586.76
Belgium,United Kingdom,1567447877.47
Belgium,United States,4177483.35
Belgium,Vietnam,48109055.480000004
Belgium,Zambia,1129888.47
Belize,Jamaica,5.46
Belize,Malaysia,1070292.38
Benin,Hong Kong SAR,10567.08
Benin,Togo,152.75
Bhutan,Bahrain,33640.92
Bolivia,China (mainland),1423321665.64
Bolivia,"Congo, Republic of the",2173743.88
Bolivia,Ecuador,117082200.21000001
Bolivia,Hong Kong SAR,30663827.92
Bolivia,Malaysia,299.74
Bolivia,Peru,107354442.99
Bolivia,Russia,2071754.41
Bosnia and Herzegovina,Austria,6727166.39
Bosnia and Herzegovina,Croatia,8258811.0
Bosnia and Herzegovina,France,23816404.23
Bosnia and Herzegovina,Germany,7356252.92
Bosnia and Herzegovina,Hong Kong SAR,466052.14999999997
Bosnia and Herzegovina,"Macedonia, North",169515460.08
Bosnia and Herzegovina,Montenegro,88315180.68
Bosnia and Herzegovina,Serbia,307928800.82
Bosnia and Herzegovina,Slovenia,14049747.78
Bosnia and Herzegovina,Sweden,552610.54
Bosnia and Herzegovina,Uganda,2.06
Bosnia and Herzegovina,United Arab Emirates,870321.5700000001
Botswana,Angola,1.81
Botswana,"Congo, D.R.",16120404.57
Botswana,Eswatini,491136.08
Botswana,Greece,6807436.74
Botswana,Italy,3460240.98
Botswana,Kuwait,2278134.0
Botswana,Mozambique,5241405.26
Botswana,Namibia,122741.89
Botswana,Netherlands,9410227.39
Botswana,Norway,132416972.74
Botswana,South Africa,24679350.34
Botswana,United Kingdom,4881301.91
Botswana,Zambia,157688.37
Botswana,Zimbabwe,56928.84
Brazil,Afghanistan,14693478.98
Brazil,Albania,719378986.87
Brazil,American Samoa,7710247.24
Brazil,Angola,2249692722.44
Brazil,Anguilla,4154492.35
Brazil,Antigua and Barbuda,8203529.89
Brazil,Argentina,2095915608.6299999
Brazil,Armenia,46274732.16
Brazil,Aruba,143250395.5
Brazil,Australia,116853596.25
Brazil,Austria,37245428.64
Brazil,Azerbaijan,64661370.78
Brazil,Bahamas,57405992.17
Brazil,Bahrain,65872513.34
Brazil,Bangladesh,3225883.4699999997
Brazil,Barbados,15979806.61
Brazil,Belgium,569538657.81
Brazil,Belize,12810097.41
Brazil,Benin,82332579.87
Brazil,Bermuda,33163446.79
Brazil,Bolivia,109494339.81
Brazil,"Bonaire, Saint Eustatius and Saba",11785739.8
Brazil,British Virgin Islands,2337013.79
Brazil,Brunei,4583617.35
Brazil,Bulgaria,6005.89
Brazil,Cambodia,10225443.49
Brazil,Cameroon,5231013.89
Brazil,Canada,756520375.95
Brazil,Cape Verde,104272149.59
Brazil,Cayman Islands,2909960.05
Brazil,Central African Republic,2132205.91
Brazil,Chad,1722698.42
Brazil,Chile,7006216630.74
Brazil,China (mainland),89518999189.34
Brazil,Cocos (Keeling) Islands,11296.89
Brazil,Colombia,3965.58
Brazil,Comoros,12583421.370000001
Brazil,"Congo, D.R.",490193924.48
Brazil,"Congo, Republic of the",282416709.32
Brazil,Cook Islands,20820.54
Brazil,Croatia,83673.22
Brazil,Cuba,217336139.09
Brazil,Curacao,132950596.03
Brazil,Cyprus,5777457.4
Brazil,Côte d'Ivoire,123971360.81
Brazil,Denmark,5693274.91
Brazil,Djibouti,4177864.89
Brazil,Dominica,7521207.47
Brazil,East Timor,204823801.56
Brazil,Egypt,3804331565.61
Brazil,Equatorial Guinea,75349809.64
Brazil,Ethiopia,188583.79
Brazil,France,546787175.68
Brazil,French Guiana,3040299.88
Brazil,Gabon,287528041.13
Brazil,"Gambia, The",55984914.02
Brazil,Gaza Strip,340494704.75
Brazil,Georgia,1770418117.03
Brazil,Germany,1357345579.11
Brazil,Ghana,535291820.39
Brazil,Gibraltar,253964.93
Brazil,Greece,22796487.98
Brazil,Grenada,27153000.35
Brazil,Guam,9288105.42
Brazil,Guinea,81347683.62
Brazil,Guinea-Bissau,250690.27
Brazil,Guyana,118148695.11
